,lwr,fit,upr
1,249.4910294,253.4530648,257.4151002
2,246.5664301,250.8398884,255.1133467
3,241.5549743,245.8590236,250.1630729
4,250.519489,254.9775465,259.435604
5,248.0360207,252.8414287,257.6468367
6,239.4312456,244.6087297,249.7862139
7,245.7263058,251.0057991,256.2852925
8,222.7287031,229.3165733,235.9044436
9,220.715146,227.5927231,234.4703002
10,216.6862646,223.5083075,230.3303505
11,200.3369312,207.8688273,215.4007235
12,185.339627,193.0454996,200.7513722
13,184.2795124,191.6179014,198.9562904
14,189.8570124,197.4440178,205.0310232
15,194.4742472,202.0021982,209.5301491
16,197.1710595,204.6859604,212.2008612
17,201.3035716,208.892432,216.4812923
